latitude,longitude
-9.97499,-67.8243
-7.62762,-72.6756
-9.78301,-36.0971
-9.75487,-36.6615
-9.66599,-35.735
-9.40568,-36.6328
-3.11866,-60.0212
0.034934,-51.0694
-14.7876,-39.2781
-12.9718,-38.5011
-13.8509,-40.0877
-14.8615,-40.8442
-12.1439,-44.9968
-12.2664,-38.9663
-14.2231,-42.7799
-3.86699,-38.6259
-7.2982,-39.3021
-3.71664,-38.5423
-3.68913,-40.3482
-7.19621,-39.3076
-4.9663,-39.0155
-15.7795,-47.9297
-20.121,-40.3074
-19.5493,-40.6269
-20.8462,-41.1198
-20.3155,-40.3128
-20.3417,-40.2875
-16.3281,-48.953
-16.6864,-49.2643
-2.53874,-44.2825
-5.51847,-47.4777
-4.86505,-43.3617
-20.7559,-42.8742
-21.1204,-42.9359
-19.9102,-43.9266
-18.8545,-41.9555
-21.7595,-43.3398
-16.2104,-44.4299
-18.9141,-48.2749
-16.7282,-43.8578
-19.7472,-47.9381
-21.5556,-45.4364
-19.9668,-44.2008
-20.7193,-46.609
-22.2231,-54.812
-20.4486,-54.6295
-16.4673,-54.6372
-15.601,-56.0974
-13.0588,-55.9042
-1.06126,-46.7826
-1.51187,-48.6195
-6.06781,-49.9037
-1.36002,-48.3421
-1.4554,-48.4898
-5.38075,-49.1327
-7.22196,-35.8731
-7.01743,-37.2747
-7.11509,-34.8641
-6.85064,-35.485
-6.88004,-38.5577
-8.04666,-34.8771
-5.09194,-42.8034
-25.4195,-49.2646
-23.55,-51.4635
-25.3902,-51.4623
-24.9573,-53.459
-24.7246,-53.7412
-24.0463,-52.378
-23.7656,-53.3201
-25.5427,-54.5827
-23.304,-51.1691
-23.4205,-51.9333
-25.0916,-50.1668
-26.2292,-52.6706
-25.5313,-49.2031
-22.9129,-43.2003
-22.8058,-43.3729
-22.52,-43.1926
-22.5202,-44.0996
-22.7858,-43.3049
-22.2932,-42.5377
-21.7622,-41.3181
-22.8832,-43.1034
-5.79357,-35.1986
-5.18374,-37.3474
-5.91116,-35.271
-6.45441,-37.1067
-8.76077,-63.8999
2.82384,-60.6753
-31.3297,-54.0999
-30.0318,-51.2065
-32.0349,-52.1071
-29.1629,-51.1792
-29.1662,-51.5165
-28.388,-53.92
-27.8702,-54.4796
-28.3001,-54.2668
-26.2591,-49.5177
-27.5945,-48.5477
-27.6136,-48.6366
-26.3045,-48.8487
-27.1004,-52.6152
-28.4713,-49.0144
-26.9101,-48.6705
-27.2335,-52.026
-27.815,-50.3259
-26.4851,-49.0713
-26.9155,-49.0709
-27.2824,-50.5816
-26.1159,-49.8086
-28.6723,-49.3729
-10.6826,-37.4273
-10.9136,-37.6689
-10.9091,-37.0677
-23.7951,-45.4143
-21.1314,-48.977
-23.5488,-46.9327
-23.5329,-46.6395
-21.1699,-47.8099
-23.5324,-46.7916
-22.9053,-47.0659
-23.9535,-46.335
-22.1207,-51.3925
-23.5208,-46.1854
-20.8113,-49.3758
-22.3246,-49.0871
-23.6022,-46.919
-23.7161,-46.8572
-22.566,-47.397
-22.2936,-48.5592
-21.4148,-50.0769
-23.1171,-46.5563
-22.9797,-49.8697
-23.9788,-48.8764
-23.6125,-45.4125
-23.6737,-46.5432
-21.6718,-49.7526
-23.1852,-46.8974
-20.4237,-49.9781
-23.4538,-46.5333
-23.5057,-46.879
-20.5352,-47.4039
-23.0104,-45.5593
-22.7338,-47.6476
-22.66,-50.4183
-22.2171,-49.9501
-24.312,-47.0012
-21.2076,-50.4401
-22.8837,-48.4437
-23.6914,-46.5646
-23.1896,-45.8841
-22.3984,-47.5546
-22.0174,-47.886
-22.4357,-46.8224
-23.4969,-47.4451
-21.9335,-50.5191
-11.7279,-49.068
-10.24,-48.3558
-7.19238,-48.2044
